,date,sunrise,sunset,duration
29,01/29/2021,08:36:42 AM,04:31:39 PM,7h 54m 57s
30,01/30/2021,08:34:30 AM,04:34:11 PM,7h 59m 41s
31,01/31/2021,08:32:15 AM,04:36:43 PM,8h 4m 28s
32,02/01/2021,08:29:58 AM,04:39:16 PM,8h 9m 18s
33,02/02/2021,08:27:39 AM,04:41:49 PM,8h 14m 10s
34,02/03/2021,08:25:18 AM,04:44:23 PM,8h 19m 5s
35,02/04/2021,08:22:55 AM,04:46:56 PM,8h 24m 1s
36,02/05/2021,08:20:30 AM,04:49:30 PM,8h 29m 0s
37,02/06/2021,08:18:04 AM,04:52:04 PM,8h 34m 0s
38,02/07/2021,08:15:35 AM,04:54:38 PM,8h 39m 3s
39,02/08/2021,08:13:06 AM,04:57:12 PM,8h 44m 6s
40,02/09/2021,08:10:35 AM,04:59:46 PM,8h 49m 11s
41,02/10/2021,08:08:02 AM,05:02:20 PM,8h 54m 18s
42,02/11/2021,08:05:28 AM,05:04:54 PM,8h 59m 26s
43,02/12/2021,08:02:52 AM,05:07:28 PM,9h 4m 36s
44,02/13/2021,08:00:15 AM,05:10:01 PM,9h 9m 46s
45,02/14/2021,07:57:37 AM,05:12:34 PM,9h 14m 57s
46,02/15/2021,07:54:58 AM,05:15:07 PM,9h 20m 9s
47,02/16/2021,07:52:18 AM,05:17:40 PM,9h 25m 22s
48,02/17/2021,07:49:36 AM,05:20:13 PM,9h 30m 37s
49,02/18/2021,07:46:53 AM,05:22:45 PM,9h 35m 52s
50,02/19/2021,07:44:10 AM,05:25:17 PM,9h 41m 7s
51,02/20/2021,07:41:25 AM,05:27:48 PM,9h 46m 23s
52,02/21/2021,07:38:40 AM,05:30:19 PM,9h 51m 39s
53,02/22/2021,07:35:53 AM,05:32:50 PM,9h 56m 57s
54,02/23/2021,07:33:06 AM,05:35:21 PM,10h 2m 15s
55,02/24/2021,07:30:18 AM,05:37:51 PM,10h 7m 33s
56,02/25/2021,07:27:29 AM,05:40:20 PM,10h 12m 51s
57,02/26/2021,07:24:39 AM,05:42:50 PM,10h 18m 11s
58,02/27/2021,07:21:49 AM,05:45:19 PM,10h 23m 30s
59,02/28/2021,07:18:58 AM,05:47:47 PM,10h 28m 49s
60,03/01/2021,07:16:06 AM,05:50:15 PM,10h 34m 9s
61,03/02/2021,07:13:14 AM,05:52:43 PM,10h 39m 29s
62,03/03/2021,07:10:21 AM,05:55:11 PM,10h 44m 50s
63,03/04/2021,07:07:28 AM,05:57:38 PM,10h 50m 10s
64,03/05/2021,07:04:34 AM,06:00:04 PM,10h 55m 30s
65,03/06/2021,07:01:39 AM,06:02:31 PM,11h 0m 52s
66,03/07/2021,06:58:44 AM,06:04:57 PM,11h 6m 13s
67,03/08/2021,06:55:49 AM,06:07:23 PM,11h 11m 34s
68,03/09/2021,06:52:53 AM,06:09:48 PM,11h 16m 55s
69,03/10/2021,06:49:57 AM,06:12:13 PM,11h 22m 16s
70,03/11/2021,06:47:01 AM,06:14:38 PM,11h 27m 37s
71,03/12/2021,06:44:04 AM,06:17:03 PM,11h 32m 59s
72,03/13/2021,06:41:07 AM,06:19:27 PM,11h 38m 20s
73,03/14/2021,06:38:10 AM,06:21:51 PM,11h 43m 41s
74,03/15/2021,06:35:12 AM,06:24:15 PM,11h 49m 3s
75,03/16/2021,06:32:14 AM,06:26:38 PM,11h 54m 24s
76,03/17/2021,06:29:16 AM,06:29:02 PM,11h 59m 46s
77,03/18/2021,06:26:18 AM,06:31:25 PM,12h 5m 7s
78,03/19/2021,06:23:20 AM,06:33:48 PM,12h 10m 28s
79,03/20/2021,06:20:22 AM,06:36:11 PM,12h 15m 49s
80,03/21/2021,06:17:23 AM,06:38:34 PM,12h 21m 11s
81,03/22/2021,06:14:25 AM,06:40:56 PM,12h 26m 31s
82,03/23/2021,06:11:26 AM,06:43:19 PM,12h 31m 53s
83,03/24/2021,06:08:27 AM,06:45:41 PM,12h 37m 14s
84,03/25/2021,06:05:29 AM,06:48:04 PM,12h 42m 35s
85,03/26/2021,06:02:30 AM,06:50:26 PM,12h 47m 56s
86,03/27/2021,05:59:32 AM,06:52:48 PM,12h 53m 16s
87,03/28/2021,06:56:40 AM,07:55:05 PM,12h 58m 25s
88,03/29/2021,06:53:42 AM,07:57:27 PM,13h 3m 45s
89,03/30/2021,06:50:44 AM,07:59:49 PM,13h 9m 5s
90,03/31/2021,06:47:46 AM,08:02:12 PM,13h 14m 26s
91,04/01/2021,06:44:48 AM,08:04:34 PM,13h 19m 46s
92,04/02/2021,06:41:50 AM,08:06:57 PM,13h 25m 7s
93,04/03/2021,06:38:52 AM,08:09:19 PM,13h 30m 27s
94,04/04/2021,06:35:55 AM,08:11:42 PM,13h 35m 47s
95,04/05/2021,06:32:58 AM,08:14:04 PM,13h 41m 6s
96,04/06/2021,06:30:01 AM,08:16:27 PM,13h 46m 26s
97,04/07/2021,06:27:05 AM,08:18:50 PM,13h 51m 45s
98,04/08/2021,06:24:09 AM,08:21:13 PM,13h 57m 4s
99,04/09/2021,06:21:13 AM,08:23:36 PM,14h 2m 23s
100,04/10/2021,06:18:18 AM,08:25:59 PM,14h 7m 41s
101,04/11/2021,06:15:23 AM,08:28:23 PM,14h 13m 0s
102,04/12/2021,06:12:29 AM,08:30:46 PM,14h 18m 17s
103,04/13/2021,06:09:35 AM,08:33:10 PM,14h 23m 35s
104,04/14/2021,06:06:42 AM,08:35:33 PM,14h 28m 51s
105,04/15/2021,06:03:49 AM,08:37:57 PM,14h 34m 8s
106,04/16/2021,06:00:57 AM,08:40:21 PM,14h 39m 24s
107,04/17/2021,05:58:06 AM,08:42:45 PM,14h 44m 39s
108,04/18/2021,05:55:15 AM,08:45:10 PM,14h 49m 55s
109,04/19/2021,05:52:25 AM,08:47:34 PM,14h 55m 9s
110,04/20/2021,05:49:35 AM,08:49:58 PM,15h 0m 23s
111,04/21/2021,05:46:47 AM,08:52:23 PM,15h 5m 36s
112,04/22/2021,05:43:59 AM,08:54:48 PM,15h 10m 49s
113,04/23/2021,05:41:12 AM,08:57:12 PM,15h 16m 0s
114,04/24/2021,05:38:26 AM,08:59:37 PM,15h 21m 11s
115,04/25/2021,05:35:41 AM,09:02:02 PM,15h 26m 21s
116,04/26/2021,05:32:57 AM,09:04:27 PM,15h 31m 30s
117,04/27/2021,05:30:14 AM,09:06:51 PM,15h 36m 37s
118,04/28/2021,05:27:32 AM,09:09:16 PM,15h 41m 44s
119,04/29/2021,05:24:51 AM,09:11:40 PM,15h 46m 49s
120,04/30/2021,05:22:11 AM,09:14:05 PM,15h 51m 54s
121,05/01/2021,05:19:33 AM,09:16:29 PM,15h 56m 56s
122,05/02/2021,05:16:56 AM,09:18:53 PM,16h 1m 57s
123,05/03/2021,05:14:20 AM,09:21:17 PM,16h 6m 57s
124,05/04/2021,05:11:46 AM,09:23:40 PM,16h 11m 54s
125,05/05/2021,05:09:13 AM,09:26:04 PM,16h 16m 51s
126,05/06/2021,05:06:41 AM,09:28:26 PM,16h 21m 45s
127,05/07/2021,05:04:12 AM,09:30:49 PM,16h 26m 37s
128,05/08/2021,05:01:43 AM,09:33:10 PM,16h 31m 27s
129,05/09/2021,04:59:17 AM,09:35:32 PM,16h 36m 15s
130,05/10/2021,04:56:52 AM,09:37:52 PM,16h 41m 0s
131,05/11/2021,04:54:30 AM,09:40:12 PM,16h 45m 42s
132,05/12/2021,04:52:09 AM,09:42:31 PM,16h 50m 22s
133,05/13/2021,04:49:50 AM,09:44:49 PM,16h 54m 59s
134,05/14/2021,04:47:33 AM,09:47:06 PM,16h 59m 33s
135,05/15/2021,04:45:19 AM,09:49:23 PM,17h 4m 4s
136,05/16/2021,04:43:07 AM,09:51:38 PM,17h 8m 31s
137,05/17/2021,04:40:57 AM,09:53:51 PM,17h 12m 54s
138,05/18/2021,04:38:49 AM,09:56:04 PM,17h 17m 15s
139,05/19/2021,04:36:45 AM,09:58:15 PM,17h 21m 30s
140,05/20/2021,04:34:42 AM,10:00:24 PM,17h 25m 42s
141,05/21/2021,04:32:43 AM,10:02:32 PM,17h 29m 49s
142,05/22/2021,04:30:46 AM,10:04:38 PM,17h 33m 52s
143,05/23/2021,04:28:53 AM,10:06:42 PM,17h 37m 49s
144,05/24/2021,04:27:02 AM,10:08:44 PM,17h 41m 42s
145,05/25/2021,04:25:15 AM,10:10:43 PM,17h 45m 28s
146,05/26/2021,04:23:30 AM,10:12:41 PM,17h 49m 11s
147,05/27/2021,04:21:49 AM,10:14:36 PM,17h 52m 47s
148,05/28/2021,04:20:12 AM,10:16:28 PM,17h 56m 16s
149,05/29/2021,04:18:38 AM,10:18:18 PM,17h 59m 40s
150,05/30/2021,04:17:08 AM,10:20:05 PM,18h 2m 57s
151,05/31/2021,04:15:42 AM,10:21:49 PM,18h 6m 7s
152,06/01/2021,04:14:20 AM,10:23:30 PM,18h 9m 10s
153,06/02/2021,04:13:02 AM,10:25:08 PM,18h 12m 6s
154,06/03/2021,04:11:47 AM,10:26:42 PM,18h 14m 55s
155,06/04/2021,04:10:38 AM,10:28:12 PM,18h 17m 34s
156,06/05/2021,04:09:32 AM,10:29:39 PM,18h 20m 7s
157,06/06/2021,04:08:31 AM,10:31:02 PM,18h 22m 31s
158,06/07/2021,04:07:35 AM,10:32:21 PM,18h 24m 46s
159,06/08/2021,04:06:43 AM,10:33:36 PM,18h 26m 53s
160,06/09/2021,04:05:56 AM,10:34:47 PM,18h 28m 51s
161,06/10/2021,04:05:13 AM,10:35:53 PM,18h 30m 40s
162,06/11/2021,04:04:36 AM,10:36:55 PM,18h 32m 19s
163,06/12/2021,04:04:04 AM,10:37:52 PM,18h 33m 48s
164,06/13/2021,04:03:36 AM,10:38:45 PM,18h 35m 9s
165,06/14/2021,04:03:14 AM,10:39:33 PM,18h 36m 19s
166,06/15/2021,04:02:57 AM,10:40:16 PM,18h 37m 19s
167,06/16/2021,04:02:45 AM,10:40:53 PM,18h 38m 8s
168,06/17/2021,04:02:38 AM,10:41:26 PM,18h 38m 48s
169,06/18/2021,04:02:36 AM,10:41:54 PM,18h 39m 18s
170,06/19/2021,04:02:40 AM,10:42:17 PM,18h 39m 37s
171,06/20/2021,04:02:49 AM,10:42:34 PM,18h 39m 45s
172,06/21/2021,04:03:03 AM,10:42:46 PM,18h 39m 43s
173,06/22/2021,04:03:22 AM,10:42:53 PM,18h 39m 31s
174,06/23/2021,04:03:46 AM,10:42:55 PM,18h 39m 9s
175,06/24/2021,04:04:15 AM,10:42:51 PM,18h 38m 36s
176,06/25/2021,04:04:50 AM,10:42:42 PM,18h 37m 52s
177,06/26/2021,04:05:29 AM,10:42:28 PM,18h 36m 59s
178,06/27/2021,04:06:13 AM,10:42:09 PM,18h 35m 56s
179,06/28/2021,04:07:02 AM,10:41:45 PM,18h 34m 43s
180,06/29/2021,04:07:55 AM,10:41:15 PM,18h 33m 20s
181,06/30/2021,04:08:53 AM,10:40:41 PM,18h 31m 48s
182,07/01/2021,04:09:56 AM,10:40:01 PM,18h 30m 5s
183,07/02/2021,04:11:03 AM,10:39:17 PM,18h 28m 14s
184,07/03/2021,04:12:14 AM,10:38:27 PM,18h 26m 13s
185,07/04/2021,04:13:29 AM,10:37:33 PM,18h 24m 4s
186,07/05/2021,04:14:48 AM,10:36:35 PM,18h 21m 47s
187,07/06/2021,04:16:11 AM,10:35:32 PM,18h 19m 21s
188,07/07/2021,04:17:38 AM,10:34:24 PM,18h 16m 46s
189,07/08/2021,04:19:08 AM,10:33:12 PM,18h 14m 4s
190,07/09/2021,04:20:42 AM,10:31:56 PM,18h 11m 14s
191,07/10/2021,04:22:19 AM,10:30:36 PM,18h 8m 17s
192,07/11/2021,04:23:59 AM,10:29:12 PM,18h 5m 13s
193,07/12/2021,04:25:42 AM,10:27:43 PM,18h 2m 1s
194,07/13/2021,04:27:28 AM,10:26:12 PM,17h 58m 44s
195,07/14/2021,04:29:16 AM,10:24:36 PM,17h 55m 20s
196,07/15/2021,04:31:08 AM,10:22:57 PM,17h 51m 49s
197,07/16/2021,04:33:01 AM,10:21:14 PM,17h 48m 13s
198,07/17/2021,04:34:57 AM,10:19:28 PM,17h 44m 31s
199,07/18/2021,04:36:55 AM,10:17:39 PM,17h 40m 44s
200,07/19/2021,04:38:55 AM,10:15:47 PM,17h 36m 52s
201,07/20/2021,04:40:57 AM,10:13:52 PM,17h 32m 55s
202,07/21/2021,04:43:00 AM,10:11:53 PM,17h 28m 53s
203,07/22/2021,04:45:05 AM,10:09:52 PM,17h 24m 47s
204,07/23/2021,04:47:12 AM,10:07:49 PM,17h 20m 37s
205,07/24/2021,04:49:21 AM,10:05:42 PM,17h 16m 21s
206,07/25/2021,04:51:30 AM,10:03:34 PM,17h 12m 4s
207,07/26/2021,04:53:41 AM,10:01:22 PM,17h 7m 41s
208,07/27/2021,04:55:53 AM,09:59:09 PM,17h 3m 16s
209,07/28/2021,04:58:06 AM,09:56:53 PM,16h 58m 47s
210,07/29/2021,05:00:20 AM,09:54:35 PM,16h 54m 15s
211,07/30/2021,05:02:34 AM,09:52:15 PM,16h 49m 41s
212,07/31/2021,05:04:50 AM,09:49:53 PM,16h 45m 3s
213,08/01/2021,05:07:06 AM,09:47:29 PM,16h 40m 23s
214,08/02/2021,05:09:23 AM,09:45:03 PM,16h 35m 40s
215,08/03/2021,05:11:41 AM,09:42:36 PM,16h 30m 55s
216,08/04/2021,05:13:58 AM,09:40:07 PM,16h 26m 9s
217,08/05/2021,05:16:17 AM,09:37:36 PM,16h 21m 19s
218,08/06/2021,05:18:36 AM,09:35:03 PM,16h 16m 27s
219,08/07/2021,05:20:55 AM,09:32:29 PM,16h 11m 34s
220,08/08/2021,05:23:14 AM,09:29:54 PM,16h 6m 40s
221,08/09/2021,05:25:33 AM,09:27:17 PM,16h 1m 44s
222,08/10/2021,05:27:53 AM,09:24:39 PM,15h 56m 46s
223,08/11/2021,05:30:13 AM,09:22:00 PM,15h 51m 47s
224,08/12/2021,05:32:33 AM,09:19:19 PM,15h 46m 46s
225,08/13/2021,05:34:53 AM,09:16:38 PM,15h 41m 45s
226,08/14/2021,05:37:13 AM,09:13:55 PM,15h 36m 42s
227,08/15/2021,05:39:33 AM,09:11:11 PM,15h 31m 38s
228,08/16/2021,05:41:53 AM,09:08:26 PM,15h 26m 33s
229,08/17/2021,05:44:13 AM,09:05:40 PM,15h 21m 27s
230,08/18/2021,05:46:33 AM,09:02:53 PM,15h 16m 20s
231,08/19/2021,05:48:53 AM,09:00:05 PM,15h 11m 12s
232,08/20/2021,05:51:12 AM,08:57:17 PM,15h 6m 5s
233,08/21/2021,05:53:32 AM,08:54:27 PM,15h 0m 55s
234,08/22/2021,05:55:51 AM,08:51:37 PM,14h 55m 46s
235,08/23/2021,05:58:10 AM,08:48:46 PM,14h 50m 36s
236,08/24/2021,06:00:30 AM,08:45:55 PM,14h 45m 25s
237,08/25/2021,06:02:49 AM,08:43:02 PM,14h 40m 13s
238,08/26/2021,06:05:07 AM,08:40:09 PM,14h 35m 2s
239,08/27/2021,06:07:26 AM,08:37:16 PM,14h 29m 50s
240,08/28/2021,06:09:44 AM,08:34:22 PM,14h 24m 38s
241,08/29/2021,06:12:03 AM,08:31:27 PM,14h 19m 24s
242,08/30/2021,06:14:21 AM,08:28:32 PM,14h 14m 11s
243,08/31/2021,06:16:39 AM,08:25:37 PM,14h 8m 58s
244,09/01/2021,06:18:57 AM,08:22:41 PM,14h 3m 44s
245,09/02/2021,06:21:14 AM,08:19:44 PM,13h 58m 30s
246,09/03/2021,06:23:32 AM,08:16:47 PM,13h 53m 15s
247,09/04/2021,06:25:49 AM,08:13:50 PM,13h 48m 1s
248,09/05/2021,06:28:06 AM,08:10:53 PM,13h 42m 47s
249,09/06/2021,06:30:23 AM,08:07:55 PM,13h 37m 32s
250,09/07/2021,06:32:40 AM,08:04:57 PM,13h 32m 17s
251,09/08/2021,06:34:57 AM,08:01:59 PM,13h 27m 2s
252,09/09/2021,06:37:14 AM,07:59:00 PM,13h 21m 46s
253,09/10/2021,06:39:31 AM,07:56:01 PM,13h 16m 30s
254,09/11/2021,06:41:48 AM,07:53:02 PM,13h 11m 14s
255,09/12/2021,06:44:04 AM,07:50:03 PM,13h 5m 59s
256,09/13/2021,06:46:21 AM,07:47:04 PM,13h 0m 43s
257,09/14/2021,06:48:37 AM,07:44:05 PM,12h 55m 28s
258,09/15/2021,06:50:54 AM,07:41:05 PM,12h 50m 11s
259,09/16/2021,06:53:10 AM,07:38:06 PM,12h 44m 56s
260,09/17/2021,06:55:27 AM,07:35:06 PM,12h 39m 39s
261,09/18/2021,06:57:44 AM,07:32:07 PM,12h 34m 23s
262,09/19/2021,07:00:01 AM,07:29:07 PM,12h 29m 6s
263,09/20/2021,07:02:17 AM,07:26:08 PM,12h 23m 51s
264,09/21/2021,07:04:34 AM,07:23:08 PM,12h 18m 34s
265,09/22/2021,07:06:51 AM,07:20:09 PM,12h 13m 18s
266,09/23/2021,07:09:08 AM,07:17:10 PM,12h 8m 2s
267,09/24/2021,07:11:26 AM,07:14:11 PM,12h 2m 45s
268,09/25/2021,07:13:43 AM,07:11:12 PM,11h 57m 29s
269,09/26/2021,07:16:01 AM,07:08:13 PM,11h 52m 12s
270,09/27/2021,07:18:19 AM,07:05:14 PM,11h 46m 55s
271,09/28/2021,07:20:37 AM,07:02:16 PM,11h 41m 39s
272,09/29/2021,07:22:55 AM,06:59:18 PM,11h 36m 23s
273,09/30/2021,07:25:14 AM,06:56:20 PM,11h 31m 6s
274,10/01/2021,07:27:33 AM,06:53:22 PM,11h 25m 49s
275,10/02/2021,07:29:52 AM,06:50:25 PM,11h 20m 33s
276,10/03/2021,07:32:12 AM,06:47:28 PM,11h 15m 16s
277,10/04/2021,07:34:31 AM,06:44:32 PM,11h 10m 1s
278,10/05/2021,07:36:51 AM,06:41:36 PM,11h 4m 45s
279,10/06/2021,07:39:12 AM,06:38:40 PM,10h 59m 28s
280,10/07/2021,07:41:33 AM,06:35:45 PM,10h 54m 12s
281,10/08/2021,07:43:54 AM,06:32:50 PM,10h 48m 56s
282,10/09/2021,07:46:15 AM,06:29:56 PM,10h 43m 41s
283,10/10/2021,07:48:37 AM,06:27:02 PM,10h 38m 25s
284,10/11/2021,07:51:00 AM,06:24:09 PM,10h 33m 9s
285,10/12/2021,07:53:22 AM,06:21:17 PM,10h 27m 55s
286,10/13/2021,07:55:46 AM,06:18:25 PM,10h 22m 39s
287,10/14/2021,07:58:09 AM,06:15:34 PM,10h 17m 25s
288,10/15/2021,08:00:33 AM,06:12:43 PM,10h 12m 10s
289,10/16/2021,08:02:57 AM,06:09:53 PM,10h 6m 56s
290,10/17/2021,08:05:22 AM,06:07:04 PM,10h 1m 42s
291,10/18/2021,08:07:47 AM,06:04:16 PM,9h 56m 29s
292,10/19/2021,08:10:13 AM,06:01:29 PM,9h 51m 16s
293,10/20/2021,08:12:39 AM,05:58:42 PM,9h 46m 3s
294,10/21/2021,08:15:05 AM,05:55:57 PM,9h 40m 52s
295,10/22/2021,08:17:32 AM,05:53:12 PM,9h 35m 40s
296,10/23/2021,08:19:59 AM,05:50:29 PM,9h 30m 30s
297,10/24/2021,08:22:26 AM,05:47:46 PM,9h 25m 20s
298,10/25/2021,08:24:54 AM,05:45:05 PM,9h 20m 11s
299,10/26/2021,08:27:22 AM,05:42:25 PM,9h 15m 3s
300,10/27/2021,08:29:51 AM,05:39:46 PM,9h 9m 55s
301,10/28/2021,08:32:19 AM,05:37:08 PM,9h 4m 49s
302,10/29/2021,08:34:48 AM,05:34:31 PM,8h 59m 43s
303,10/30/2021,08:37:17 AM,05:31:56 PM,8h 54m 39s
304,10/31/2021,07:39:53 AM,04:29:16 PM,8h 49m 23s
305,11/01/2021,07:42:22 AM,04:26:44 PM,8h 44m 22s
306,11/02/2021,07:44:52 AM,04:24:13 PM,8h 39m 21s
307,11/03/2021,07:47:21 AM,04:21:44 PM,8h 34m 23s
308,11/04/2021,07:49:51 AM,04:19:16 PM,8h 29m 25s
309,11/05/2021,07:52:21 AM,04:16:50 PM,8h 24m 29s
310,11/06/2021,07:54:50 AM,04:14:26 PM,8h 19m 36s
311,11/07/2021,07:57:19 AM,04:12:04 PM,8h 14m 45s
312,11/08/2021,07:59:48 AM,04:09:43 PM,8h 9m 55s
313,11/09/2021,08:02:17 AM,04:07:25 PM,8h 5m 8s
314,11/10/2021,08:04:45 AM,04:05:09 PM,8h 0m 24s
315,11/11/2021,08:07:13 AM,04:02:55 PM,7h 55m 42s
316,11/12/2021,08:09:41 AM,04:00:43 PM,7h 51m 2s
317,11/13/2021,08:12:08 AM,03:58:33 PM,7h 46m 25s
318,11/14/2021,08:14:34 AM,03:56:26 PM,7h 41m 52s
319,11/15/2021,08:16:59 AM,03:54:21 PM,7h 37m 22s
320,11/16/2021,08:19:24 AM,03:52:19 PM,7h 32m 55s
321,11/17/2021,08:21:47 AM,03:50:19 PM,7h 28m 32s
322,11/18/2021,08:24:09 AM,03:48:22 PM,7h 24m 13s
323,11/19/2021,08:26:31 AM,03:46:28 PM,7h 19m 57s
324,11/20/2021,08:28:50 AM,03:44:37 PM,7h 15m 47s
325,11/21/2021,08:31:09 AM,03:42:49 PM,7h 11m 40s
326,11/22/2021,08:33:26 AM,03:41:05 PM,7h 7m 39s
327,11/23/2021,08:35:41 AM,03:39:23 PM,7h 3m 42s
328,11/24/2021,08:37:54 AM,03:37:45 PM,6h 59m 51s
329,11/25/2021,08:40:06 AM,03:36:10 PM,6h 56m 4s
330,11/26/2021,08:42:15 AM,03:34:39 PM,6h 52m 24s
331,11/27/2021,08:44:22 AM,03:33:12 PM,6h 48m 50s
332,11/28/2021,08:46:27 AM,03:31:48 PM,6h 45m 21s
333,11/29/2021,08:48:29 AM,03:30:28 PM,6h 41m 59s
334,11/30/2021,08:50:28 AM,03:29:12 PM,6h 38m 44s
335,12/01/2021,08:52:25 AM,03:28:01 PM,6h 35m 36s
336,12/02/2021,08:54:19 AM,03:26:54 PM,6h 32m 35s
337,12/03/2021,08:56:09 AM,03:25:51 PM,6h 29m 42s
338,12/04/2021,08:57:56 AM,03:24:52 PM,6h 26m 56s
339,12/05/2021,08:59:40 AM,03:23:58 PM,6h 24m 18s
340,12/06/2021,09:01:21 AM,03:23:09 PM,6h 21m 48s
341,12/07/2021,09:02:57 AM,03:22:24 PM,6h 19m 27s
342,12/08/2021,09:04:30 AM,03:21:44 PM,6h 17m 14s
343,12/09/2021,09:05:58 AM,03:21:09 PM,6h 15m 11s
344,12/10/2021,09:07:23 AM,03:20:40 PM,6h 13m 17s
345,12/11/2021,09:08:43 AM,03:20:15 PM,6h 11m 32s
346,12/12/2021,09:09:58 AM,03:19:55 PM,6h 9m 57s
347,12/13/2021,09:11:10 AM,03:19:41 PM,6h 8m 31s
348,12/14/2021,09:12:16 AM,03:19:32 PM,6h 7m 16s
349,12/15/2021,09:13:18 AM,03:19:28 PM,6h 6m 10s
350,12/16/2021,09:14:15 AM,03:19:29 PM,6h 5m 14s
351,12/17/2021,09:15:07 AM,03:19:36 PM,6h 4m 29s
352,12/18/2021,09:15:53 AM,03:19:48 PM,6h 3m 55s
353,12/19/2021,09:16:35 AM,03:20:06 PM,6h 3m 31s
354,12/20/2021,09:17:12 AM,03:20:29 PM,6h 3m 17s
355,12/21/2021,09:17:43 AM,03:20:57 PM,6h 3m 14s
356,12/22/2021,09:18:09 AM,03:21:30 PM,6h 3m 21s
357,12/23/2021,09:18:30 AM,03:22:09 PM,6h 3m 39s
358,12/24/2021,09:18:46 AM,03:22:53 PM,6h 4m 7s
359,12/25/2021,09:18:56 AM,03:23:42 PM,6h 4m 46s
360,12/26/2021,09:19:01 AM,03:24:37 PM,6h 5m 36s
361,12/27/2021,09:19:01 AM,03:25:36 PM,6h 6m 35s
362,12/28/2021,09:18:55 AM,03:26:40 PM,6h 7m 45s
363,12/29/2021,09:18:44 AM,03:27:49 PM,6h 9m 5s
364,12/30/2021,09:18:28 AM,03:29:03 PM,6h 10m 35s
365,12/31/2021,09:18:07 AM,03:30:21 PM,6h 12m 14s
